penalty_rate,penalty_definition,model,W1,W2,n_lags,nRMSE,optimality_gap_pct,profit,oracle_profit,mean_prediction,mean_actual,mean_shortage,mean_surplus,prediction_at_lower_rate,prediction_at_upper_rate,setting_order,mean_solver_runtime
0.0,PC=(1+r)DP,Baseline AR,,,24,41.00618163086155,9.43915385270733,14900.030850625888,16453.060549358976,0.4284800376684251,0.3925160256410256,0.07097879478949705,0.03501478276209756,0.0,0.0,-1,
0.0,PC=(1+r)DP,Proposed AR,1.0,1.0,24,50.79637160020466,9.18359595855345,14942.077945689693,16453.060549358976,0.5058282603716716,0.3925160256410256,0.12285819382572681,0.009545959095080941,0.0,0.0,0,0.06050008535385132
0.25,PC=(1+r)DP,Baseline AR,,,24,41.00618163086155,13.292384941838382,14266.056406424432,16453.060549358976,0.4284800376684251,0.3925160256410256,0.07097879478949705,0.03501478276209756,0.0,0.0,-1,
0.25,PC=(1+r)DP,Proposed AR,1.0,1.0,24,45.28481724640241,12.541362168229165,14389.622638105831,16453.060549358976,0.3576643005309761,0.3925160256410256,0.046681229494420634,0.08153295460447017,0.0,0.0008333333333333334,0,0.06416666507720947
0.5,PC=(1+r)DP,Baseline AR,,,24,41.00618163086155,17.145616030969446,13632.081962222974,16453.060549358976,0.4284800376684251,0.3925160256410256,0.07097879478949705,0.03501478276209756,0.0,0.0,-1,
0.5,PC=(1+r)DP,Proposed AR,1.0,1.0,24,57.22419929534236,13.519508661921178,14228.687603237253,16453.060549358976,0.28754849937813787,0.3925160256410256,0.0295543854640669,0.13452191172695463,0.01,0.0008333333333333334,0,0.06758338212966919
0.75,PC=(1+r)DP,Baseline AR,,,24,41.00618163086155,20.998847120100496,12998.107518021518,16453.060549358976,0.4284800376684251,0.3925160256410256,0.07097879478949705,0.03501478276209756,0.0,0.0,-1,
0.75,PC=(1+r)DP,Proposed AR,1.0,1.0,24,63.30528116451195,14.128727415843914,14128.452472776295,16453.060549358976,0.25328537105751914,0.3925160256410256,0.022493751658262607,0.16172440624176915,0.021666666666666667,0.0008333333333333334,0,0.06916668017705281
1.0,PC=(1+r)DP,Baseline AR,,,24,41.00618163086155,24.85207820923156,12364.13307382006,16453.060549358976,0.4284800376684251,0.3925160256410256,0.07097879478949705,0.03501478276209756,0.0,0.0,-1,
1.0,PC=(1+r)DP,Proposed AR,1.0,1.0,24,66.11780823034078,14.896255513598438,14002.1706101194,16453.060549358976,0.23499446770115223,0.3925160256410256,0.019291414887868938,0.1768129728277423,0.023333333333333334,0.0008333333333333334,0,0.07083334525426228
